Sample ID,Date,Time,A/S Loc,Initial Sample Vol,Aliquot Vol.,Analyte Name,Elem,Wavelength,Int (Corr),Conc (Calib),Conc (Samp),Repl No1,Date1,Time1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1,Repl No2,Date2,Time2,Int (Corr)2,Conc (Calib)2,Conc (Samp)2,Repl No3,Date3,Time3,Int (Corr)3,Conc (Calib)3,Conc (Samp)3,Repl No4,Date4,Time4,Int (Corr)4,Conc (Calib)4,Conc (Samp)4,Repl No5,Date5,Time5,Int (Corr)5,Conc (Calib)5,Conc (Samp)5
Calib Blank,4/20/17,10:27:26 AM,1, , ,Pb 220.353,Pb,220.353,-64.34663978, , ,1,4/20/17,10:28:03 AM,-69.78730799, , ,2,4/20/17,10:28:09 AM,-40.79436466, , ,3,4/20/17,10:28:15 AM,-79.79693037, , ,4,4/20/17,10:28:21 AM,-76.33412197, , ,5,4/20/17,10:28:27 AM,-55.02047392, , 
1 ppm,4/20/17,10:28:40 AM,2, , ,Pb 220.353,Pb,220.353,2971.579104, , ,1,4/20/17,10:29:13 AM,2977.225737, , ,2,4/20/17,10:29:19 AM,2952.028406, , ,3,4/20/17,10:29:25 AM,2932.295928, , ,4,4/20/17,10:29:31 AM,2980.371709, , ,5,4/20/17,10:29:37 AM,3015.973741, , 
10 ppm,4/20/17,10:29:49 AM,3, , ,Pb 220.353,Pb,220.353,139693.3266, , ,1,4/20/17,10:30:17 AM,140455.8706, , ,2,4/20/17,10:30:18 AM,142560.2931, , ,3,4/20/17,10:30:19 AM,138226.3622, , ,4,4/20/17,10:30:21 AM,139228.7816, , ,5,4/20/17,10:30:22 AM,137995.3257, , 
100 ppm,4/20/17,10:30:33 AM,141, , ,Pb 220.353,Pb,220.353,23.56602861, , ,1,4/20/17,10:31:07 AM,24.37538244, , ,2,4/20/17,10:31:14 AM,42.66036061, , ,3,4/20/17,10:31:20 AM,-12.40349364, , ,4,4/20/17,10:31:26 AM,38.12070516, , ,5,4/20/17,10:31:32 AM,25.0771885, , 
1 (Griffith 5),4/20/17,10:31:43 AM,101, , ,Pb 220.353,Pb,220.353,4549.317948,32.77039432,327.7039432,1,4/20/17,10:32:12 AM,4414.373165,31.79833789,317.9833789,2,4/20/17,10:32:13 AM,4657.414277,33.54905155,335.4905155,3,4/20/17,10:32:14 AM,4637.747527,33.40738478,334.0738478,4,4/20/17,10:32:16 AM,4499.330882,32.41031927,324.1031927,5,4/20/17,10:32:17 AM,4537.723891,32.6868781,326.868781
2 (Griffith 1),4/20/17,10:32:28 AM,102, , ,Pb 220.353,Pb,220.353,7697.452545,55.44755457,554.4755457,1,4/20/17,10:32:55 AM,7643.657803,55.06005144,550.6005144,2,4/20/17,10:32:56 AM,7808.080665,56.24444921,562.4444921,3,4/20/17,10:32:57 AM,7683.571906,55.34756726,553.4756726,4,4/20/17,10:32:58 AM,7602.857396,54.76615125,547.6615125,5,4/20/17,10:33:00 AM,7749.094956,55.81955366,558.1955366
3 (Griffith 4),4/20/17,10:33:11 AM,103, , ,Pb 220.353,Pb,220.353,5234.758672,37.70787353,377.0787353,1,4/20/17,10:33:38 AM,5244.936357,37.7811871,377.811871,2,4/20/17,10:33:39 AM,5166.962922,37.21951605,372.1951605,3,4/20/17,10:33:40 AM,5366.392989,38.65608346,386.5608346,4,4/20/17,10:33:41 AM,5136.677672,37.00136036,370.0136036,5,4/20/17,10:33:43 AM,5258.823419,37.88122067,378.8122067
4 (Jumpa 1),4/20/17,10:33:54 AM,104, , ,Pb 220.353,Pb,220.353,1542.801099,11.1133583,111.133583,1,4/20/17,10:34:21 AM,1398.195918,10.07171451,100.7171451,2,4/20/17,10:34:22 AM,1509.804102,10.87566891,108.7566891,3,4/20/17,10:34:23 AM,1678.134026,12.08821067,120.8821067,4,4/20/17,10:34:25 AM,1623.041546,11.69135946,116.9135946,5,4/20/17,10:34:26 AM,1504.829901,10.83983793,108.3983793
5 (CUC 5),4/20/17,10:34:38 AM,105, , ,Pb 220.353,Pb,220.353,1432.313042,10.31747258,103.1747258,1,4/20/17,10:35:05 AM,1356.441348,9.770941125,97.70941125,2,4/20/17,10:35:06 AM,1391.941346,10.02666055,100.2666055,3,4/20/17,10:35:07 AM,1504.600365,10.8381845,108.381845,4,4/20/17,10:35:08 AM,1540.996369,11.10035817,111.0035817,5,4/20/17,10:35:09 AM,1367.585784,9.851218562,98.51218562
6 (Marston 5),4/20/17,10:35:20 AM,106, , ,Pb 220.353,Pb,220.353,7687.284689,55.37431179,553.7431179,1,4/20/17,10:35:47 AM,7588.10305,54.65987032,546.5987032,2,4/20/17,10:35:48 AM,7634.393643,54.99331832,549.9331832,3,4/20/17,10:35:49 AM,7664.692652,55.21157312,552.1157312,4,4/20/17,10:35:51 AM,7639.366255,55.02913786,550.2913786,5,4/20/17,10:35:52 AM,7909.867846,56.97765935,569.7765935
7 (Cahuilla 1),4/20/17,10:36:03 AM,107, , ,Pb 220.353,Pb,220.353,3792.150918,27.3162444,273.162444,1,4/20/17,10:36:31 AM,3822.094802,27.5319411,275.319411,2,4/20/17,10:36:32 AM,3739.448365,26.93660871,269.3660871,3,4/20/17,10:36:33 AM,3905.394419,28.13197858,281.3197858,4,4/20/17,10:36:35 AM,3752.041483,27.02732153,270.2732153,5,4/20/17,10:36:36 AM,3741.775522,26.95337207,269.5337207
8 (Griffith 3),4/20/17,10:36:47 AM,108, , ,Pb 220.353,Pb,220.353,6357.117788,45.79263508,457.9263508,1,4/20/17,10:37:15 AM,6344.93733,45.7048948,457.048948,2,4/20/17,10:37:16 AM,6395.896128,46.07196958,460.7196958,3,4/20/17,10:37:17 AM,6358.206654,45.80047857,458.0047857,4,4/20/17,10:37:18 AM,6189.277492,44.58362029,445.8362029,5,4/20/17,10:37:20 AM,6497.271338,46.80221215,468.0221215
9 (CUC 4),4/20/17,10:37:31 AM,109, , ,Pb 220.353,Pb,220.353,2611.597388,18.81228729,188.1228729,1,4/20/17,10:37:59 AM,2660.829005,19.16692056,191.6692056,2,4/20/17,10:38:00 AM,2581.136536,18.59286668,185.9286668,3,4/20/17,10:38:01 AM,2555.623411,18.40908634,184.0908634,4,4/20/17,10:38:03 AM,2582.788977,18.60476981,186.0476981,5,4/20/17,10:38:04 AM,2677.609013,19.28779307,192.8779307
10 (Blaisdell 2),4/20/17,10:38:15 AM,110, , ,Pb 220.353,Pb,220.353,5177.358048,37.29439593,372.9439593,1,4/20/17,10:38:43 AM,5024.467049,36.19306637,361.9306637,2,4/20/17,10:38:44 AM,5152.970482,37.11872341,371.1872341,3,4/20/17,10:38:45 AM,5289.672173,38.10343548,381.0343548,4,4/20/17,10:38:46 AM,5212.550792,37.54790208,375.4790208,5,4/20/17,10:38:48 AM,5207.129744,37.5088523,375.088523
11 (Bryant 2),4/20/17,10:38:59 AM,111, , ,Pb 220.353,Pb,220.353,2733.687085,19.69174385,196.9174385,1,4/20/17,10:39:27 AM,2694.670079,19.41069014,194.1069014,2,4/20/17,10:39:28 AM,2716.106881,19.56510723,195.6510723,3,4/20/17,10:39:29 AM,2761.452745,19.89175001,198.9175001,4,4/20/17,10:39:31 AM,2721.323459,19.60268415,196.0268415,5,4/20/17,10:39:32 AM,2774.882264,19.98848773,199.8848773
12 (Blaisdell 4),4/20/17,10:39:43 AM,112, , ,Pb 220.353,Pb,220.353,8211.926725,59.15349948,591.5349948,1,4/20/17,10:40:11 AM,8146.987662,58.68571976,586.8571976,2,4/20/17,10:40:12 AM,8258.073665,59.4859127,594.859127,3,4/20/17,10:40:13 AM,8104.080456,58.37664352,583.7664352,4,4/20/17,10:40:15 AM,8068.402202,58.11964006,581.1964006,5,4/20/17,10:40:16 AM,8482.089641,61.09958138,610.9958138
13 (Cahuilla 3),4/20/17,10:40:27 AM,113, , ,Pb 220.353,Pb,220.353,6241.714608,44.96134393,449.6134393,1,4/20/17,10:40:54 AM,6245.63289,44.98956875,449.8956875,2,4/20/17,10:40:55 AM,6218.917567,44.79712854,447.9712854,3,4/20/17,10:40:56 AM,6133.442397,44.18141976,441.8141976,4,4/20/17,10:40:58 AM,6327.902046,45.58218345,455.8218345,5,4/20/17,10:40:59 AM,6282.678139,45.25641917,452.5641917
