Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,"1,1,1-TRICHLOROETHANE",'000071556',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,ACETONE,'000067641',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,AMMONIA,'007664417',C,R,NAICS 4246 - Chemical Wholesalers,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,DICHLOROMETHANE,'000075092',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,FREON 113,'000076131',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),'007647010',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,METHYL ETHYL KETONE,'000078933',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,NITRIC ACID,'007697372',C,R,NAICS 4246 - Chemical Wholesalers,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,PHOSPHORIC ACID,'007664382',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
GALLADE CHEMICAL INC,92707GLLDC1230E,1230 E SAINT GERTRUDE PL,SANTA ANA,ORANGE,CA,'92707',1988,SODIUM HYDROXIDE (SOLUTION),'001310732',C,R,NAICS 325 - Chemicals,250,0,250,0,0,0,250,.,250,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
