SampleNo,ParkID,Rep,Analyte,Mass,Concentration
1,A,1,Li,6,0
1,A,1,Sc,45,0
1,A,1,Cr,52,4.1
1,A,1,Ge,72,0
1,A,1,As,75,0
1,A,1,Se,78,134.3
1,A,1,Rh,103,0
1,A,1,Ag,107,5.8
1,A,1,In,115,0
1,A,1,Ba,137,5.8
1,A,1,Tb,159,0
1,A,1,Lu,175,0
1,A,1,Pb,206,10.1
1,A,1,Pb,207,10
1,A,1,Pb,208,9.6
1,A,1,Bi,209,0
2,A,2,Li,6,0
2,A,2,Sc,45,0
2,A,2,Cr,52,2.7
2,A,2,Ge,72,0
2,A,2,As,75,0
2,A,2,Se,78,76.3
2,A,2,Rh,103,0
2,A,2,Ag,107,11.5
2,A,2,In,115,0
2,A,2,Ba,137,7.6
2,A,2,Tb,159,0
2,A,2,Lu,175,0
2,A,2,Pb,206,5.8
2,A,2,Pb,207,6.3
2,A,2,Pb,208,5.8
2,A,2,Bi,209,0
3,A,3,Li,6,0
3,A,3,Sc,45,0
3,A,3,Cr,52,1
3,A,3,Ge,72,0
3,A,3,As,75,0
3,A,3,Se,78,201.1
3,A,3,Rh,103,0
3,A,3,Ag,107,2
3,A,3,In,115,0
3,A,3,Ba,137,4.7
3,A,3,Tb,159,0
3,A,3,Lu,175,0
3,A,3,Pb,206,3
3,A,3,Pb,207,1.1
3,A,3,Pb,208,3
3,A,3,Bi,209,0
4,A,4,Li,6,0
4,A,4,Sc,45,0
4,A,4,Cr,52,4.3
4,A,4,Ge,72,0
4,A,4,As,75,0
4,A,4,Se,78,0
4,A,4,Rh,103,0
4,A,4,Ag,107,6
4,A,4,In,115,0
4,A,4,Ba,137,2.9
4,A,4,Tb,159,0
4,A,4,Lu,175,0
4,A,4,Pb,206,4.4
4,A,4,Pb,207,2.5
4,A,4,Pb,208,3
4,A,4,Bi,209,0
5,A,5,Li,6,0
5,A,5,Sc,45,0
5,A,5,Cr,52,2.5
5,A,5,Ge,72,0
5,A,5,As,75,0
5,A,5,Se,78,0
5,A,5,Rh,103,0
5,A,5,Ag,107,0.3
5,A,5,In,115,0
5,A,5,Ba,137,1.5
5,A,5,Tb,159,0
5,A,5,Lu,175,0
5,A,5,Pb,206,1.5
5,A,5,Pb,207,1.9
5,A,5,Pb,208,1.5
5,A,5,Bi,209,0
6,B,1,Li,6,0
6,B,1,Sc,45,0
6,B,1,Cr,52,0.6
6,B,1,Ge,72,0
6,B,1,As,75,0
6,B,1,Se,78,89.6
6,B,1,Rh,103,0
6,B,1,Ag,107,3.3
6,B,1,In,115,0
6,B,1,Ba,137,1.4
6,B,1,Tb,159,0
6,B,1,Lu,175,0
6,B,1,Pb,206,3.4
6,B,1,Pb,207,4.9
6,B,1,Pb,208,1.3
6,B,1,Bi,209,0
7,B,2,Li,6,0
7,B,2,Sc,45,0
7,B,2,Cr,52,5.1
7,B,2,Ge,72,0
7,B,2,As,75,0
7,B,2,Se,78,0
7,B,2,Rh,103,0
7,B,2,Ag,107,3.5
7,B,2,In,115,0
7,B,2,Ba,137,5.1
7,B,2,Tb,159,0
7,B,2,Lu,175,0
7,B,2,Pb,206,3
7,B,2,Pb,207,0.8
7,B,2,Pb,208,2.7
7,B,2,Bi,209,0
8,B,3,Li,6,0
8,B,3,Sc,45,0
8,B,3,Cr,52,1.7
8,B,3,Ge,72,0
8,B,3,As,75,0
8,B,3,Se,78,148.8
8,B,3,Rh,103,0
8,B,3,Ag,107,6.4
8,B,3,In,115,0
8,B,3,Ba,137,5.9
8,B,3,Tb,159,0
8,B,3,Lu,175,0
8,B,3,Pb,206,1.2
8,B,3,Pb,207,0.2
8,B,3,Pb,208,1.1
8,B,3,Bi,209,0
9,B,4,Li,6,0
9,B,4,Sc,45,0
9,B,4,Cr,52,1.7
9,B,4,Ge,72,0
9,B,4,As,75,0
9,B,4,Se,78,0
9,B,4,Rh,103,0
9,B,4,Ag,107,9.7
9,B,4,In,115,0
9,B,4,Ba,137,1.5
9,B,4,Tb,159,0
9,B,4,Lu,175,0
9,B,4,Pb,206,1.9
9,B,4,Pb,207,1.4
9,B,4,Pb,208,0.2
9,B,4,Bi,209,0
10,B,5,Li,6,0
10,B,5,Sc,45,0
10,B,5,Cr,52,0.5
10,B,5,Ge,72,0
10,B,5,As,75,0
10,B,5,Se,78,0
10,B,5,Rh,103,0
10,B,5,Ag,107,3.9
10,B,5,In,115,0
10,B,5,Ba,137,7.3
10,B,5,Tb,159,0
10,B,5,Lu,175,0
10,B,5,Pb,206,1.7
10,B,5,Pb,207,2.9
10,B,5,Pb,208,0.8
10,B,5,Bi,209,0
11,C,1,Li,6,0
11,C,1,Sc,45,0
11,C,1,Cr,52,2.1
11,C,1,Ge,72,0
11,C,1,As,75,0
11,C,1,Se,78,58.7
11,C,1,Rh,103,0
11,C,1,Ag,107,2.9
11,C,1,In,115,0
11,C,1,Ba,137,3.7
11,C,1,Tb,159,0
11,C,1,Lu,175,0
11,C,1,Pb,206,4.6
11,C,1,Pb,207,2.7
11,C,1,Pb,208,1.9
11,C,1,Bi,209,0
12,C,2,Li,6,0
12,C,2,Sc,45,0
12,C,2,Cr,52,3
12,C,2,Ge,72,0
12,C,2,As,75,0
12,C,2,Se,78,0
12,C,2,Rh,103,0
12,C,2,Ag,107,3.9
12,C,2,In,115,0
12,C,2,Ba,137,1.6
12,C,2,Tb,159,0
12,C,2,Lu,175,0
12,C,2,Pb,206,3.9
12,C,2,Pb,207,1.7
12,C,2,Pb,208,2.1
12,C,2,Bi,209,0
13,C,3,Li,6,0
13,C,3,Sc,45,0
13,C,3,Cr,52,3.4
13,C,3,Ge,72,0
13,C,3,As,75,0
13,C,3,Se,78,0
13,C,3,Rh,103,0
13,C,3,Ag,107,0.6
13,C,3,In,115,0
13,C,3,Ba,137,5.5
13,C,3,Tb,159,0
13,C,3,Lu,175,0
13,C,3,Pb,206,2.8
13,C,3,Pb,207,1.7
13,C,3,Pb,208,2
13,C,3,Bi,209,0
14,C,4,Li,6,0
14,C,4,Sc,45,0
14,C,4,Cr,52,2.8
14,C,4,Ge,72,0
14,C,4,As,75,0
14,C,4,Se,78,464.4
14,C,4,Rh,103,0
14,C,4,Ag,107,2.8
14,C,4,In,115,0
14,C,4,Ba,137,10
14,C,4,Tb,159,0
14,C,4,Lu,175,0
14,C,4,Pb,206,0.9
14,C,4,Pb,207,2.9
14,C,4,Pb,208,3.2
14,C,4,Bi,209,0
15,C,5,Li,6,0
15,C,5,Sc,45,0
15,C,5,Cr,52,16
15,C,5,Ge,72,0
15,C,5,As,75,0
15,C,5,Se,78,0
15,C,5,Rh,103,0
15,C,5,Ag,107,34.9
15,C,5,In,115,0
15,C,5,Ba,137,35.2
15,C,5,Tb,159,0
15,C,5,Lu,175,0
15,C,5,Pb,206,35.1
15,C,5,Pb,207,35.7
15,C,5,Pb,208,34.6
15,C,5,Bi,209,0
16,C,1,Li,6,0
16,C,1,Sc,45,0
16,C,1,Cr,52,2.9
16,C,1,Ge,72,0
16,C,1,As,75,0
16,C,1,Se,78,0
16,C,1,Rh,103,0
16,C,1,Ag,107,1.6
16,C,1,In,115,0
16,C,1,Ba,137,3.5
16,C,1,Tb,159,0
16,C,1,Lu,175,0
16,C,1,Pb,206,1.7
16,C,1,Pb,207,3.5
16,C,1,Pb,208,1.8
16,C,1,Bi,209,0
17,C,2,Li,6,0
17,C,2,Sc,45,0
17,C,2,Cr,52,3
17,C,2,Ge,72,0
17,C,2,As,75,0
17,C,2,Se,78,148.6
17,C,2,Rh,103,0
17,C,2,Ag,107,2
17,C,2,In,115,0
17,C,2,Ba,137,6.7
17,C,2,Tb,159,0
17,C,2,Lu,175,0
17,C,2,Pb,206,1.3
17,C,2,Pb,207,2.3
17,C,2,Pb,208,3.9
17,C,2,Bi,209,0
18,C,3,Li,6,0
18,C,3,Sc,45,0
18,C,3,Cr,52,0.8
18,C,3,Ge,72,0
18,C,3,As,75,0
18,C,3,Se,78,0
18,C,3,Rh,103,0
18,C,3,Ag,107,2.2
18,C,3,In,115,0
18,C,3,Ba,137,4.4
18,C,3,Tb,159,0
18,C,3,Lu,175,0
18,C,3,Pb,206,2.7
18,C,3,Pb,207,1.8
18,C,3,Pb,208,1.5
18,C,3,Bi,209,0
19,C,4,Li,6,0
19,C,4,Sc,45,0
19,C,4,Cr,52,2.1
19,C,4,Ge,72,0
19,C,4,As,75,0
19,C,4,Se,78,40
19,C,4,Rh,103,0
19,C,4,Ag,107,4
19,C,4,In,115,0
19,C,4,Ba,137,4.7
19,C,4,Tb,159,0
19,C,4,Lu,175,0
19,C,4,Pb,206,0.9
19,C,4,Pb,207,2.8
19,C,4,Pb,208,2
19,C,4,Bi,209,0
20,C,5,Li,6,0
20,C,5,Sc,45,0
20,C,5,Cr,52,1.4
20,C,5,Ge,72,0
20,C,5,As,75,0
20,C,5,Se,78,0
20,C,5,Rh,103,0
20,C,5,Ag,107,5.1
20,C,5,In,115,0
20,C,5,Ba,137,2.7
20,C,5,Tb,159,0
20,C,5,Lu,175,0
20,C,5,Pb,206,1.8
20,C,5,Pb,207,1.4
20,C,5,Pb,208,0.4
20,C,5,Bi,209,0
21,D,1,Li,6,0
21,D,1,Sc,45,0
21,D,1,Cr,52,1.1
21,D,1,Ge,72,0
21,D,1,As,75,0
21,D,1,Se,78,0
21,D,1,Rh,103,0
21,D,1,Ag,107,5.2
21,D,1,In,115,0
21,D,1,Ba,137,7.8
21,D,1,Tb,159,0
21,D,1,Lu,175,0
21,D,1,Pb,206,4.2
21,D,1,Pb,207,2
21,D,1,Pb,208,3.2
21,D,1,Bi,209,0
22,D,2,Li,6,0
22,D,2,Sc,45,0
22,D,2,Cr,52,1.6
22,D,2,Ge,72,0
22,D,2,As,75,0
22,D,2,Se,78,0
22,D,2,Rh,103,0
22,D,2,Ag,107,2.4
22,D,2,In,115,0
22,D,2,Ba,137,8.1
22,D,2,Tb,159,0
22,D,2,Lu,175,0
22,D,2,Pb,206,2.6
22,D,2,Pb,207,1.9
22,D,2,Pb,208,1.2
22,D,2,Bi,209,0
23,D,3,Li,6,0
23,D,3,Sc,45,0
23,D,3,Cr,52,0
23,D,3,Ge,72,0
23,D,3,As,75,203.2
23,D,3,Se,78,88.2
23,D,3,Rh,103,0
23,D,3,Ag,107,4.3
23,D,3,In,115,0
23,D,3,Ba,137,4.6
23,D,3,Tb,159,0
23,D,3,Lu,175,0
23,D,3,Pb,206,7.9
23,D,3,Pb,207,5.1
23,D,3,Pb,208,15.3
23,D,3,Bi,209,0
24,D,4,Li,6,0
24,D,4,Sc,45,0
24,D,4,Cr,52,0.7
24,D,4,Ge,72,0
24,D,4,As,75,0
24,D,4,Se,78,0
24,D,4,Rh,103,0
24,D,4,Ag,107,1.8
24,D,4,In,115,0
24,D,4,Ba,137,4.3
24,D,4,Tb,159,0
24,D,4,Lu,175,0
24,D,4,Pb,206,2.3
24,D,4,Pb,207,1.8
24,D,4,Pb,208,1.4
