"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 383) for  facilities in All Industries, for  All chemicals,   Los Angeles County, California, 2015"
"Row #","Facility","Latitude","Longitude","Underground","RCRA Subtitle","Other On-Site","Sub Total","Fugitive Air","Point Source","Surface Water","Underground","Land Treatment","RCRA Subtitle","Other Surface","Other Land","Sub Total","Total On-site","Underground","RCRA Subtitle","Other Landfills","Sub Total","Storage Only","Solidification","Wastewater","POTWs (Metal","Underground","RCRA Subtitle","Other Surface","Land Treatment","Other Land","Other Off-site","Waste Broker","Unknown","Sub Total","Total Off-site","Total On- and "
" "," "," "," ","Injection","C Landfills","Landfills","","Emissions","Air Emissions","Discharges","Injection","","C Surface","Impoundments","Disposal","","Disposal or","Injection to","C Landfills","","","","/Stabilization","Treatment-","and Metal","Injection","C Surface","Impoundments","","Disposal","Management","","","","Disposal or","Off-site"
" "," "," "," ","Class I Wells","","","","","","","Class II-V Wells","","Impoundments","","","","Other Releases","to Class I","","","","","(metals only)","Metals Only","Compounds)","Class II-V Wells","Impoundments","","","","","","","","Other Releases","Disposal or"
" "," "," "," ","","","","","","","","Wells","","","","","","","","","","","","","","","Wells","","","","","","","","","","Other Releases"
"1","3M CO - MONROVIA TAPE.1601 S SHAMROCK AVE, MONROVIA CALIFORNIA 91016 (LOS ANGELES)","              34.134","            -117.991","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           8,375.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           8,375.0000000","           8,375.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           8,375.0000000"
" ","TOLUENE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           7,486.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           7,486.0000000","           7,486.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           7,486.0000000"
" ","XYLENE (MIXED ISOMERS)"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             889.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             889.0000000","             889.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","             889.0000000"
"2","3M UNITEK.2724 SOUTH PECK ROAD, MONROVIA CALIFORNIA 91016 (LOS ANGELES)","              34.115","            -118.004","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.2600000","                .2235000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.4835000","               5.4835000",".","              12.0000000",".","              12.0000000",".",".","              18.2700000","               7.0700000",".",".",".",".",".","             774.6300000",".",".","             799.9700000","             811.9700000","             817.4535000"
" ","CHROMIUM"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.2600000","                .2235000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.4835000","               5.4835000",".","              12.0000000",".","              12.0000000",".",".","              18.2700000","               7.0700000",".",".",".",".",".","             774.6300000",".",".","             799.9700000","             811.9700000","             817.4535000"
"3","A&A READY MIXED CONCRETE INC.100 E. REDONDO BEACH BLVD., GARDENA CALIFORNIA 90248 (LOS ANGELES)","              33.893","            -118.276","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","                .0000000","                .0000000"
" ","LEAD COMPOUNDS"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","                .0000000","                .0000000"
