Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,3,3,0,0,0,3,9,12,71,.,53,0,133,0,71,0,0,0,54,4,129,2,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,BENZENE,'000071432',C,R,NAICS 4247 - Petroleum Bulk Terminals,7,59,66,0,0,0,66,0,66,21,.,17,0,38,0,21,0,0,0,17,65,103,3,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,CYCLOHEXANE,'000110827',C,R,NAICS 4247 - Petroleum Bulk Terminals,14,135,149,0,0,0,149,13,162,35,.,32,0,80,0,35,0,0,0,32,150,217,4,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,ETHYLBENZENE,'000100414',C,R,NAICS 4247 - Petroleum Bulk Terminals,1,10,11,0,0,0,11,.,11,46,.,36,0,82,0,46,0,0,0,36,11,93,2,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,METHANOL,'000067561',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,1710,1710,0,0,0,1710,.,1710,.,.,0,0,0,0,0,0,0,0,0,1710,1710,0,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,METHYL TERT-BUTYL ETHER,'001634044',C,R,NAICS 4247 - Petroleum Bulk Terminals,525,2369,2894,0,0,0,2894,7,2901,188,.,184,0,379,0,188,0,0,0,180,2896,3264,0,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,N-HEXANE,'000110543',C,R,NAICS 4247 - Petroleum Bulk Terminals,22,175,197,0,0,0,197,41,238,52,.,57,0,150,0,52,0,0,0,56,199,307,11,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,NAPHTHALENE,'000091203',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,POLYCYCLIC AROMATIC COMPOUNDS,'N590',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,25,145,170,0,0,0,170,1,171,146,.,113,0,260,0,146,0,0,0,113,162,421,5,
