Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1988,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 331 - Primary Metals,       250.0000000,          .0000000,       250.0000000,          .0000000,          .0000000,          .0000000,       250.0000000,.,       250.0000000,.,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1988,PHENOL,'000108952',C,R,NAICS 331 - Primary Metals,       250.0000000,          .0000000,       250.0000000,          .0000000,          .0000000,          .0000000,       250.0000000,.,       250.0000000,.,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1988,SODIUM HYDROXIDE (SOLUTION),'001310732',C,R,NAICS 331 - Primary Metals,       250.0000000,       250.0000000,       500.0000000,          .0000000,          .0000000,          .0000000,       500.0000000,       500.0000000,      1000.0000000,.,.,          .0000000,          .0000000,       500.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1988,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),'007664939',C,R,NAICS 331 - Primary Metals,       250.0000000,       250.0000000,       500.0000000,          .0000000,          .0000000,          .0000000,       500.0000000,       500.0000000,      1000.0000000,.,.,          .0000000,          .0000000,       500.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1989,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 331 - Primary Metals,       250.0000000,          .0000000,       250.0000000,          .0000000,          .0000000,          .0000000,       250.0000000,.,       250.0000000,.,.,          .0000000,       250.0000000,          .0000000,       250.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1989,PHENOL,'000108952',C,R,NAICS 331 - Primary Metals,       250.0000000,          .0000000,       250.0000000,          .0000000,          .0000000,          .0000000,       250.0000000,.,       250.0000000,.,.,          .0000000,       250.0000000,          .0000000,       250.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1989,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),'007664939',C,R,NAICS 331 - Primary Metals,          .0000000,       250.0000000,       250.0000000,          .0000000,          .0000000,          .0000000,       250.0000000,.,       250.0000000,.,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1990,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 331 - Primary Metals,       250.0000000,          .0000000,       250.0000000,          .0000000,          .0000000,          .0000000,       250.0000000,          .0000000,       250.0000000,.,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1990,METHYLENEBIS(PHENYLISOCYANATE),'000101688',C,R,NAICS 331 - Primary Metals,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,.,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1990,PHENOL,'000108952',C,R,NAICS 331 - Primary Metals,       250.0000000,          .0000000,       250.0000000,          .0000000,          .0000000,       250.0000000,       500.0000000,          .0000000,       500.0000000,.,.,          .0000000,         5.0000000,          .0000000,         5.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
