Year,Chemical,CAS,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
1988,CADMIUM,7440439,0,0,0,0,0,0,0,7,7,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0
1988,CHROMIUM,7440473,0,0,0,0,0,0,0,54,54,0,0,0,8,0,54,0,0,0,0,0,0,0,0,0
1988,COPPER,7440508,0,0,0,0,0,0,0,25,25,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0
1988,NICKEL,7440020,0,0,0,0,0,0,0,21,21,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0
1989,"1,1,1-TRICHLOROETHANE",71556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),7647010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),7664939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"1,1,1-TRICHLOROETHANE",71556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),7647010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),7664939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,"1,1,1-TRICHLOROETHANE",71556,28000,0,28000,0,0,0,28000,0,28000,3885,0,0,0,0,3885,0,2700,0,0,0,0,0,2700,0
1991,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),7647010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),7664939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"1,1,1-TRICHLOROETHANE",71556,30000,0,30000,0,0,0,30000,0,30000,5500,0,0,0,0,5500,0,3800,0,0,0,0,0,3800,0
1992,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),7647010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),7664939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),7647010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),7664939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),7647010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),7664939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,NITRIC ACID,7697372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,PHOSPHORIC ACID,7664382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
