Year,Stack Air,Total Air,Total on-site release,Off-site release,Total on- and off-site releases,Total transfers off-site for waste management,Treated off-site,Quantity released on- and off-site
2001,0,0,0,51,51,51,51,0
2002,0,0,0,58,58,58,0,58
2003,0.1,0.1,0.1,58,58.1,58,0,57.1
2004,0.1,0.1,0.1,5,5.1,13060,3.1,13063.1
2005,1.26,1.26,1.26,207,208.26,207,0,208.26
2006,1.26,1.26,1.26,24,25.26,24,0,25.26
2007,0.68,0.68,0.68,9.54,10.22,6772.35,10.22,6782.57
2008,0.01,0.01,0.01,51.32,51.33,5288.32,51.33,5339.65
2009,1.26,1.26,1.26,57.6,58.86,5769.61,58.86,5828.47
2010,1.26,1.26,1.26,63.67,64.93,6261.15,64.93,6326.08
2011,1.25,1.25,1.25,88.25,89.5,6424.15,89.5,6513.65
2012,1.2,1.2,1.2,74.41,75.61,6546.42,75.61,6622.03
2013,1.19,1.19,1.19,77.71,78.9,6085.56,78.9,6164.46
2014,1.2,1.2,1.2,68.83,70.03,6168.27,70.03,6238.3
2015,1.19,1.19,1.19,15.65,16.84,4109.61,16.84,4126.45
