Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,1,1-TRICHLOROETHANE",'000071556',C,R,NAICS 324 - Petroleum,520,20,540,0,0,0,540,.,540,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,1,1-TRICHLOROETHANE",'000071556',C,R,NAICS 324 - Petroleum,45536,0,45536,0,0,0,45536,.,45536,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 324 - Petroleum,400,0,400,0,0,0,400,.,400,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 325 - Chemicals,6690,990,7680,80,0,0,7760,6490,14250,.,.,.,30,6520,0,0,0,0,0,0,0,0,0,
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,2-DIBROMOETHANE",'000106934',C,R,NAICS 324 - Petroleum,60,0,60,0,0,0,60,.,60,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,2-DIBROMOETHANE",'000106934',C,R,NAICS 324 - Petroleum,50,0,50,2,0,0,52,.,52,.,.,0,3,0,3,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,2-DICHLOROETHANE",'000107062',C,R,NAICS 324 - Petroleum,70,0,70,0,0,0,70,.,70,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,2-DICHLOROETHANE",'000107062',C,R,NAICS 324 - Petroleum,10,0,10,1,0,0,11,.,11,.,.,0,2,0,2,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,3-BUTADIENE",'000106990',C,R,NAICS 324 - Petroleum,20,0,20,0,0,0,20,.,20,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,"1,3-BUTADIENE",'000106990',C,R,NAICS 325 - Chemicals,400,0,400,0,0,0,400,.,400,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,2-METHOXYETHANOL,'000109864',C,R,NAICS 324 - Petroleum,10,0,10,0,0,0,10,.,10,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,ALUMINUM OXIDE (FIBROUS FORMS),'001344281',C,R,NAICS 324 - Petroleum,0,9000,9000,0,0,0,9000,6200,15200,.,.,0,0,0,6200,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,ALUMINUM OXIDE (FIBROUS FORMS),'001344281',C,R,NAICS 324 - Petroleum,0,55550,55550,0,0,0,55550,878340,933890,.,.,0,0,0,878340,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,AMMONIA,'007664417',C,R,NAICS 324 - Petroleum,10000,469000,479000,0,0,0,479000,.,479000,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,AMMONIA,'007664417',C,R,NAICS 325 - Chemicals,190,1840,2030,24160,0,0,26190,2,26192,.,.,.,193410,0,193412,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,BENZENE,'000071432',C,R,NAICS 325 - Chemicals,2670,1680,4350,40,0,0,4390,2005,6395,.,.,.,20,2025,0,0,0,0,0,0,0,0,0,
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,BENZENE,'000071432',C,R,NAICS 324 - Petroleum,79282,0,79282,0,0,0,79282,23,79305,.,.,.,12000,12023,0,0,0,0,0,0,0,0,0,
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,CHLORINE,'007782505',C,R,NAICS 324 - Petroleum,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,CHLORINE,'007782505',C,R,NAICS 324 - Petroleum,1370,40,1410,0,0,0,1410,.,1410,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,CHLORINE DIOXIDE,'010049044',C,R,NAICS 324 - Petroleum,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),'N090',C,R,NAICS 324 - Petroleum,0,3000,3000,1,0,0,3001,21413,24414,.,.,.,20400,0,21413,0,0,0,0,0,0,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),'N090',C,R,NAICS 324 - Petroleum,0,300,300,330,0,0,630,5150,5780,.,.,.,840,5150,0,0,0,0,0,0,0,0,0,
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,COBALT COMPOUNDS,'N096',C,R,NAICS 324 - Petroleum,0,0,0,0,0,0,0,51,51,.,.,.,0,0,51,0,0,0,0,0,0,0,0,0
