Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS, Commercial,Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2004,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),'N090',C,R,NAICS 325 - Chemicals,2,0,2,0,0,0,2,0,2,0,.,.,0,0,0,0,0,0,0,0,0,2,2,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2004,COPPER COMPOUNDS,'N100',C,R,NAICS 325 - Chemicals,0,0,0,0,0,0,0,0,0,1,.,.,0,0,1,0,1,0,0,0,0,0,1,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2004,METHANOL,'000067561',C,R,NAICS 325 - Chemicals,3,9400,9403,0,0,0,9403,.,9403,.,.,0,0,0,0,0,0,0,0,0,0,9400,9400,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2004,NICKEL COMPOUNDS,'N495',C,R,NAICS 325 - Chemicals,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2004,ZINC COMPOUNDS,'N982',C,R,NAICS 325 - Chemicals,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2005,AMMONIA,'007664417',C,R,NAICS 325 - Chemicals,0,5600,5600,0,0,0,5600,.,5600,.,.,0,0,0,0,0,0,0,0,0,0,5600,5600,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2005,ETHYLENE,'000074851',C,R,NAICS 325 - Chemicals,88,0,88,0,0,0,88,.,88,.,.,0,0,0,0,0,0,0,0,0,0,88,88,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2005,METHANOL,'000067561',C,R,NAICS 325 - Chemicals,0,460,460,0,0,0,460,.,460,.,.,0,0,0,0,0,0,0,0,820,0,460,1280,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2005,PROPYLENE,'000115071',C,R,NAICS 325 - Chemicals,110,1000,1110,0,0,0,1110,.,1110,.,.,0,0,0,0,0,0,0,0,0,0,1200,1200,0
AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO,90245RLQDL131EE,1310 E EL SEGUNDO BLVD,EL SEGUNDO,LOS ANGELES,CA,'90245',2005,ZINC COMPOUNDS,'N982',C,R,NAICS 325 - Chemicals,0,15,15,0,0,0,15,0,15,320,.,.,0,0,320,0,320,0,0,0,0,15,335,0
