Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2001,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,21685,21685,0,0,0,21685,.,21685,.,.,.,0,.,0,0,0,0,0,0,0,21685,21685,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2002,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,45986,45986,0,0,0,45986,.,45986,.,.,.,0,.,0,0,0,0,0,0,0,45986,45986,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2003,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,55198,55198,0,0,0,55198,.,55198,.,.,.,0,.,0,0,0,0,0,0,0,55198,55198,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2004,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,55970,55970,0,0,0,55970,.,55970,.,.,.,0,.,0,0,0,0,0,0,0,55970,55970,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2005,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,44824,44824,0,0,0,44824,.,44824,.,.,.,0,.,0,0,0,0,0,0,0,44824,44824,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2006,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,53495,53495,0,0,0,53495,.,53495,.,.,.,0,0,0,0,0,0,0,0,0,53495,53495,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2007,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,26723,26723,0,0,0,26723,.,26723,.,.,.,0,0,0,0,0,0,0,0,0,26723,26723,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2008,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,18520,18520,0,0,0,18520,.,18520,.,.,.,0,0,0,0,0,0,0,0,0,18520,18520,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2009,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,5000,5000,0,0,0,5000,.,5000,.,.,.,0,.,0,0,0,0,0,0,0,5000,5000,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2010,STYRENE,'000100425',C,R,NAICS 325 - Chemicals,0,5400,5400,0,0,0,5400,.,5400,.,.,.,0,.,0,0,0,0,0,0,0,5400,5400,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2013,STYRENE,'000100425',C,R,NAICS 326 - Plastics and Rubber,0,4072,4072,0,0,0,4072,.,4072,.,.,.,0,.,0,0,0,0,0,0,0,4072,4072,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2014,STYRENE,'000100425',C,R,NAICS 326 - Plastics and Rubber,0,4777.8,4777.8,0,0,0,4777.8,.,4777.8,.,.,.,0,.,0,0,0,0,0,0,0,4777.8,4777.8,0
CONTINENTAL FIBERGLASS INC,92301HWNFB1731M,17031 MUSKRAT AVE,ADELANTO,SAN BERNARDINO,CA,'92301',2015,STYRENE,'000100425',C,R,NAICS 326 - Plastics and Rubber,0,4777.8,4777.8,0,0,0,4777.8,.,4777.8,.,.,.,0,.,0,0,0,0,0,0,0,4777.8,4777.8,0
