Year,Fugitive Air,Stack Air,Total Air,Total on-site release,Total on- and off-site releases,Transfer to POTWs,Total transfers off-site for waste management,Recycled on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed
1991,250,0,250,250,250,0,280000,0,280000,0,0,20,280020
1992,250,0,250,250,250,0,740000,0,740000,0,0,20,740020
1994,250,0,250,250,250,0,0,0,0,0,0,20,20
1995,250,5,255,255,255,0,0,160000,0,0,0,41,160041
1996,250,5,255,255,255,5,41005,69000,41000,0,0,41,110041
1997,250,5,255,255,255,5,200005,200000,200000,0,0,41,400041
2000,250,5,255,255,255,250,237057,240000,0,0,240000,66,480066
2001,250,39,289,289,320,250,267452,270000,0,0,270000,79,540079
2002,40,39,79,79,102,5,385978,385950,0,0,385950,79,771979
2003,40,0.9,40.9,40.9,65.9,40,397532,400000,0,0,400000,66,800066
2004,250,5,255,255,255,48,62432,256486,0,0,62384,41,318911
2005,7.1,0.9,8,8,8,250,50976,110926,0,0,50726,8,161660
2006,73,0.9,73.9,73.9,73.9,250,166918,0,38385,0,128322,74,166781
2007,5,5,10,10,10,101.8,147656.16,1140726.99,147554.36,64654.38,101.8,5.93,1353043.46
2008,5,250,255,255,255,97.43,418211.11,1032544.27,418113.68,42932.02,97.43,15.1305,1493702.531
2009,0.68,57.47,58.15,58.15,58.15,112.95,379831.15,898411.09,379718.2,30585.18,112.95,58.15,1308885.57
2010,1.37,56.32,57.69,57.69,57.69,364.59,264411.53,887929.05,264046.94,30676.9,364.59,57.69,1183075.17
2011,13.08,36.59,49.67,49.67,49.67,374.21,207565.59,817202.28,207191.38,38251.12,374.21,49.67,1063068.66
2012,16.01,38.73,54.74,54.74,54.74,366.6,167469.94,745144.14,167103.34,41581.94,366.6,54.74,954250.76
2013,25.45,25,50.45,50.45,50.45,353.42,77339.94,683223.85,76986.52,33717.07,353.42,50.45,794331.31
2014,24.85,23.81,48.66,48.66,48.66,344.78,81462.6,691636.71,81117.82,27591.19,344.78,48.66,800739.16
2015,4.75,21.63,26.38,26.38,26.38,56.36,36250.35,275394.13,36193.99,1526.13,56.36,26.38,313196.99
