Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Recycled on-site,Energy recovery on-site,Treated on-site
TESORO MARINE TERMINAL 3,90813RCPRD1400P,1400 W PIER C STREET,LONG BEACH,LOS ANGELES,CA,'90813',2007,BENZENE,'000071432',0,0,0,0,0,0,0,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1991,BENZENE,'000071432',71,0,71,0,0,0,71,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1992,BENZENE,'000071432',808,0,808,0,0,0,808,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1993,BENZENE,'000071432',210,10,220,0,0,0,220,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1994,BENZENE,'000071432',1,13,14,0,0,0,14,0,0,70
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1995,BENZENE,'000071432',2,14,16,0,0,0,16,0,0,140
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1996,BENZENE,'000071432',2,14,16,0,0,0,16,0,0,58
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1997,BENZENE,'000071432',12,14,26,0,0,0,26,0,0,236
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1998,BENZENE,'000071432',4,14,18,0,0,0,18,0,0,78
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',1999,BENZENE,'000071432',22,14,36,0,0,0,36,0,0,437
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2000,BENZENE,'000071432',12,14,26,0,0,2,28,0,0,224
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2001,BENZENE,'000071432',12,9,21,0,0,1,22,0,0,248
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2002,BENZENE,'000071432',9,9,18,0,0,0,18,0,0,199
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2003,BENZENE,'000071432',16,5,21,0,0,0,21,0,0,171
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2004,BENZENE,'000071432',25,59,84,0,0,0,84,0,0,171
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2005,BENZENE,'000071432',11,21,32,0,0,0,32,0,0,108
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2006,BENZENE,'000071432',2,4,6,0,0,0,6,0,0,9
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2007,BENZENE,'000071432',10,1,11,0,0,0,11,0,0,300
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2008,BENZENE,'000071432',16,0,16,0,0,0,16,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2009,BENZENE,'000071432',94,1,95,0,0,0,95,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2010,BENZENE,'000071432',46.59,0.03,46.62,0,0,0,46.62,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2011,BENZENE,'000071432',5.79,0.91,6.7,0,0,0,6.7,0,0,0
TESORO LONG BEACH TERMINAL,90813TXCRF2050E,820 CARRACK AVE,LONG BEACH,LOS ANGELES,CA,'90813',2012,BENZENE,'000071432',8,0.1,8.1,0,0,0,8.1,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1991,BENZENE,'000071432',660,12,672,0,0,0,672,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1992,BENZENE,'000071432',820,0,820,.,0,0,820,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1993,BENZENE,'000071432',390,12,402,0,0,0,402,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1994,BENZENE,'000071432',211,2,213,0,0,0,213,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1995,BENZENE,'000071432',78,11,89,0,0,0,89,22,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1996,BENZENE,'000071432',78,4,82,0,0,0,82,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1997,BENZENE,'000071432',101,4,105,0,0,0,105,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1998,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1999,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2000,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,4000
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2001,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,5000
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2002,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,6200
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2003,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,6800
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2004,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,7500
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2005,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,8600
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2006,BENZENE,'000071432',118,24,142,0,0,0,142,0,0,8300
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2011,BENZENE,'000071432',127.61,86.58,214.19,0,0,0,214.19,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2012,BENZENE,'000071432',155.33,210.62,365.95,0,0,0,365.95,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2013,BENZENE,'000071432',73,14,87,0,0,0,87,0,0,17000
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2014,BENZENE,'000071432',69,16,85,0,0,0,85,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2015,BENZENE,'000071432',59,11,70,0,0,0,70,0,0,13000
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,BENZENE,'000071432',7,59,66,0,0,0,66,21,0,17
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1999,BENZENE,'000071432',9,111,120,0,0,0,120,0,0,2
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,BENZENE,'000071432',33,242,275,0,0,0,275,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,BENZENE,'000071432',30,122,152,0,0,0,152,0,0,0
