SampleID,Location,Replicate,Intensity,Concentration,pH,Nitrate
15 (CUC 1),CUC,1,477.9180257,3.442617626,NA,NA
5 (CUC 5),CUC,5,1432.313042,10.31747258,NA,NA
25 (Jumpa 5),Jumpa,5,1506.009788,10.84833708,NA,0.208
4 (Jumpa 1),Jumpa,1,1542.801099,11.1133583,NA,NA
21 (Cahuilla 2),Cahuilla,2,2184.991154,15.73928719,6.23,0.833
32 (Jumpa 3),Jumpa,3,2191.002244,15.78258726,NA,NA
9 (CUC 4),CUC,4,2611.597388,18.81228729,NA,NA
11 (Bryant 2),Bryant,2,2733.687085,19.69174385,NA,NA
35 (Clayton 5),Clayton,5,3127.453663,22.52818794,NA,NA
7 (Cahuilla 1),Cahuilla,1,3792.150918,27.3162444,6.92,0.833
28 (Clayton 3),Clayton,3,4362.338679,31.42351454,NA,NA
17 (Bryant 1),Bryant,1,4484.722085,32.30508679,NA,NA
22 (Mystery Sample),Mystery,NA,NA,NA,NA,NA
1 (Griffith 5),Griffith ,5,4549.317948,32.77039432,6.72,0.208
36 (Wheeler 1),Wheeler,1,4671.529815,33.65073091,6.77,2.5
29 (Wheeler 4),Wheeler,4,4772.602783,34.37879632,6.56,0.833
31 (Marston 3),Marston,3,4818.48528,34.70930466,6.34,0.208
19 (Blaisdell 5),Blaisdell,5,4927.407912,35.49391405,6.83,0.833
27 (Blaisdell 1),Blaisdell,1,5078.333303,36.58108462,6.45,0.833
33 (Cahuilla 5),Cahuilla,5,5128.793223,36.9445658,6.74,0.833
10 (Blaisdell 2),Blaisdell,2,5177.358048,37.29439593,6.45,0.833
34 (Wheeler 5),Wheeler,5,5181.262012,37.3225176,7.27,1
3 (Griffith 4),Griffith,4,5234.758672,37.70787353,6.62,0.208
24 (Marston 2),Marston,2,5238.442854,37.73441203,6.77,1
30 (Marston 4),Marston,4,5535.189552,39.8719866,6.7,0.833
37 (Wheeler 3),Wheeler,3,5736.282699,41.32053378,6.55,1
23 (Marston 1),Marston,1,6102.664386,43.95971453,6.64,0.25
13 (Cahuilla 3),Cahuilla,3,6241.714608,44.96134393,6.33,0.208
8 (Griffith 3),Griffith,3,6357.117788,45.79263508,6.43,1
18 (Blaisdell 3),Blaisdell,3,6476.973566,46.65599991,7.05,1
16 (Griffith 2),Griffith,2,7117.508858,51.27000894,6.63,0.208
6 (Marston 5),Marston,5,7687.284689,55.37431179,6.47,0.833
2 (Griffith 1),Griffith,1,7697.452545,55.44755457,6.84,0.25
20 (Cahuilla 4),Cahuilla,4,7985.749792,57.52426465,6.2,0.833
26 (Clayton 1),Clayton,1,8034.861149,57.87803164,NA,NA
12 (Blaisdell 4),Blaisdell,4,8211.926725,59.15349948,7.26,0.833
14 (Bryant 5),Bryant,5,9773.142779,70.39950741,NA,NA
1 ppm,NA,NA,NA,NA,NA,NA
10 ppm,NA,NA,NA,NA,NA,NA
10 ppm,NA,NA,NA,NA,NA,NA
100 ppm,NA,NA,NA,NA,NA,NA
100 ppm,NA,NA,NA,NA,NA,NA
Calib Blank,NA,NA,NA,NA,NA,NA
50 ppm,NA,NA,NA,NA,NA,NA
blank,NA,NA,NA,NA,NA,NA
