Year,Chemical,Fugitive Air,Stack Air,Total Air,Total on-site release,Total on- and off-site releases,Transfer to POTWs,Total transfers off-site for waste management,Recycled on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed
1991,TOLUENE,250,250,500,500,500,0,260000,0,260000,0,0,85,260085
1992,TOLUENE,250,250,500,500,500,0,700000,0,700000,0,0,85,700085
1994,TOLUENE,250,250,500,500,500,0,0,0,0,0,0,85,85
1995,TOLUENE,250,5,255,255,255,0,0,160000,0,0,0,16,160016
1996,TOLUENE,250,5,255,255,255,5,40005,69000,40000,0,0,16,109016
1997,TOLUENE,250,5,255,255,255,5,270005,270000,270000,0,0,16,540016
2000,TOLUENE,250,2015,2265,2265,2265,250,319617,320000,0,0,320000,2076,642076
2001,TOLUENE,250,427,677,677,728,250,360618,360000,0,0,360000,441,720441
2002,TOLUENE,14,427,441,441,480,42,520588,520500,0,0,520500,441,1041441
2003,TOLUENE,14,0.3,14.3,14.3,56.3,71,536152,540000,0,0,520500,56,1060556
2004,TOLUENE,14,0.3,14.3,14.3,14.3,84,69458,0,0,0,69458,14,69472
2005,TOLUENE,5,5,10,10,10,250,67515,0,0,0,67265,10,67275
2006,TOLUENE,250,0.3,250.3,250.3,250.3,250,199373,0,45859,0,153305,93,199257
2007,TOLUENE,5,5,10,10,10,56.02,161674.24,636180.01,161618.22,29674.03,56.02,5.303,827533.583
2008,TOLUENE,5,250,255,255,255,33.42,373522.91,582522.94,373489.49,20827.12,33.42,16.8414,976889.8114
2009,TOLUENE,0.44,61.59,62.03,62.03,62.03,38.36,345844.02,511789.5,345805.66,14918.68,38.36,62.03,872614.23
2010,TOLUENE,0.88,61.76,62.64,62.64,62.64,168.79,248856.33,509924.55,248687.54,16468.6,168.79,62.64,775312.12
2011,TOLUENE,10.01,35.36,45.37,45.37,45.37,167.05,189899.75,498914.95,189732.7,19085.38,167.05,45.37,707945.45
2012,TOLUENE,11.72,40.52,52.24,52.24,52.24,162.06,154770.55,446150.68,154608.49,20869.21,162.06,52.24,621842.68
2013,TOLUENE,19.37,28.28,47.65,47.65,47.65,154.6,61660.7,404419,61506.1,16989.74,154.6,47.65,483117.09
2014,TOLUENE,18.85,23.95,42.8,42.8,42.8,155.99,58915.96,403759.06,58759.97,13970.46,155.99,42.8,476688.28
2015,TOLUENE,9,25.73,34.73,34.73,34.73,28.18,33659.72,161617.73,33631.54,1720.27,28.18,34.73,197032.45
